अँगड़ाई	yawn  
अनगिनत	Uncountable  
अनछुआ	untouched  
अनजानि	Unknown  
अनजाने	Unknown  
अनदेखा	unseen  
अनदेखी	Unseen  
अनदेखे	unseen  
अनन्त	Infinite  
अनपड	illiterate  
अनपढ	illiterate  
अनपॆकशित	unexpected  
अनपेक्षीत	unexpected  
अनबन	conflict  
अनमोल	Invaluable 
अनवर	Anwar  
अनसुलजि	unresolved  
अनसुलझी	unresolved  
अनहत्तर	sixty nine
अनाकोंडा	Anaconda  
अनाड़ी	naïve  
अनाडि	naïve  
अनाथ	orphan  
अनाथों	orphan  
अनामदास	anamdas  
अनारकलि	  anarkali  
अनारकली	  anarkali  
अनावश्यक	Unnecessary  
अनाड़ी	naïve  
अनिल	anil  
अनिवार्य	Unavoidable  
अनिवासि	non resident  
अनिवासी	non resident  
अनिशचित	indefinite  
अनिशचितत	indefinite  
अनिश्चित	indefinite  
अनिश्चितता	indefinite  
अनुकुल	favourable  
अनुकूल	Convenient  
अनुचित	Improper  
अनुदान	 donation
अनुप	anoop  
अनुपम	anupam  
अनुपसतिति	absence  
अनुपस्थिती	absence  
अनुपात	ratio  
अनुप्रयोग	experiment  
अनुबंध	Affection
अनुबव	anubhav  
अनुभव	Experience  
अनुभवी	Experience  
अनुभवों	Experience  
अनुभूत	Experience  
अनुभूति	Experience  
अनुभूतिका	Experience  
अनुभूतिय	Experience  
अनुभूतियाँ	Experience  
अनुभूतियों	Experience  
अनुमति	Permission  
अनुराग	anurag  
अनुराधा	anuradha  
अनुरॊद	Request  
अनुरोध	Request  
अनुवाद	Translate  
अनुशंसा	appriceate  
अनुशासन	Discipline  
अनुसंदान	institute  
अनुसंधान	Combine
अनुसार	According  
अनुसूचित	Notified  
अनूप	anoop  
अनूपमा	anupama  
अनूपशुक्ला	anoop shukla  
अनूभुति	feel  
अनूष्का	anushka  
अनॆक	Many  
अनेक	Many  
अनोखा	New  
अनोखी	New  
अन्त	End  
अन्तरजाल	network  
अन्तरराष्ट्रीय	international  
अन्तराष्ट्रिय	international  
अन्तरिक्ष	space  
अन्तरिम	interim  
अन्तर्जाल	network  
अन्तर्राज्यीय	interstate  
अन्तिम	Final  
अन्दर	Inside  
अन्धा	blind  
अन्धेरे	darkness  
अन्न	grain food  
अन्ना	brother  
अन्नान	Annan  
अन्य	Other  
अन्यथा	Otherwise  
अन्यान्य	Injustice  
अन्याय	Injustice  
अन्वर	anwar  
अन्सारी	ansari  
अप	Up  
अपगरॆड	upgrade  
अपगान	afgan  
अपगानसतान	afganistan  
अपगानि	afgani  
अपगानिसतान	afganistan  
अपग्रेड	upgrade  
अपजल	afzal  
अपडॆट	update  
अपडॆटः	update  
अपडेट	Update  
अपडेटः	update  
अपणी	ours  
अपन	we  
अपना	Our  
अपनाई	Used 
अपनाएँ	accept  
अपनाएं	accept  
अपनाना	Used 
अपनानॆ	accept  
अपनाने	Used 
अपनाया	Used  
अपनी	ours  
अपमान	Humiliation 
अपमानित	insulted  
अपरयापत	insuficient  
अपराद	crime  
अपरादबॊद	guilt  
अपरादि	criminal  
अपराध	crime  
अपराधबोध	guilt  
अपराधियों	Criminal  
अपराधी	Criminal  
अपराधों	Crimes  
अपरॆल	april  
अपरैल	april  
अपलाई	apply  
अपलॊड	upload  
अपलोड	upload  
अपहरण	Abduct
अपहर्ता	kidnapper  
अपान	our  
अपार	Limitless  
अपारटमॆंट	apartment  
अपार्टमेंट	apartment  
अपिल	appeal  
अपील	Appeal  
अपॆकश	Expect  
अपेक्शा	Expect  
अपेक्षा	Expect  
अपेक्षाकृत	Expect  
अपॉर्चुनिटी	opportunity  
अपॊलॊ	Apollo  
अपोलो	Apollo  
अप्रिय	disliked  
अप्रेल	april  
अप्रैल	April  
अप्लाई	apply  
अफगाणिस्तान	afganistan  
अफगाणिस्तानचे	afganistan  
अफगान	Afghan  
अफगानस्थान	afganistan  
अफगानियों	afgani  
अफगानिस्तान	Afghanistan  
अफगानी	afgani  
अफजल	afzal  
अफवाह	Rumor  
अफसर	Officer  
अफसरों	Officer  
अफ़ग़ान	Afghan  
अफ़ग़ानिस्तान	Afghanistan  
अफ़सर	officer  
अफ़ीम	opium  
अफ़्ग़ानिस्तान	Afghanistan  
अफ़्रिका	africa  
अफ़्रीका	Africa  
अफ़्रीकी	african  
अफीम	opium  
अफोर्ड	afford  
अफ्रिदी	afridi  
अफ्रीका	Africa  
अफ्रीकी	african  
अब	Now  
अबदुल	abdul  
अबबास	abbas  
अबयास	practice  
अबराहम	Abraham  
अबाउट	about  
अबाऊट	about  
अबिंयास	practice  
अबिनंदन	welcome  
अबिनव	Abhinav  
अबिनॆतरि	Actress  
अबियान	movement  
अबियानॊं	movement  
अबिशाप	curse  
अबिशॆक	abhishek  
अबिशॆकि	abhishek  
अबिसार	abhisar  
अबु	abu  
अबू	Abu  
अब्दुर्रहमान	abdul rehman  
अब्दुल	Abdul  
अब्दुल्ला	Abdulla  
अब्बास	Abbas  
अब्राहम	Abraham  
अभय	Fearless  
अभाव	Scarcity  
अभिजात	abhijit  
अभिजित	abhijit  
अभिजीत	abhijit  
अभिनंदन	welcome  
अभिनन्दन	welcome  
अभिनय	Acting  
अभिनव	Abhinav  
अभिनेता	Actor  
अभिनेत्री	Actress  
अभिमानी	proudy  
अभियंता	engineer  
अभियांत्रिकी	engineering  
अभियान	Program  
अभियानों	movement  
अभिशाप	curse  
अभिषेक	Abhishek  
अभिषेकी	abhisheki  
अभिसार	abhisaar  
अभूतपूर्व	Not Former  
अमन	Peace  
अमबॆडकर	ambedkar  
अमबॆदकर	ambedkar  
अमर	Amar  
अमरकांत	amarkant  
अमरत	 immortal potion 
अमरनात	Amarnath  
अमरनाथ	Amarnath  
अमरावति	amaravati  
अमरावती	amaravati  
अमरिकि	american  
अमरिकियॊं	american  
अमरीका	America  
अमरीकियों	american  
अमरीकी	America  
अमरुद	guava  
अमरूद	guava  
अमल	Implement  
अमांडा	Amanda  
अमानविय	inhuman  
अमानवीय	inhuman  
अमानुशिक	inhuman  
अमानुषिक	inhuman  
अमावस्या	Nomoon day  
अमित	amit  
अमिताब	Amitabh  
अमिताभ	Amitabh  
अमिरात	Emirates  
अमिषा	Amisha  
अमीर	Rich  
अमीरात	Emirates  
अमीषा	Amisha  
अमूमन	approximately  
अमृतलाल	amritlal  
अमृतवाणी	amritvani  
अमृतवानि	amritvani  
अमृतसर	Amritsar  
अमृता	Amrita  
अमॆजन	amazon  
अमॆटि	amity  
अमॆरिकन	american  
अमॆरिका	america  
अमॆरिकाः	america  
अमॆरिकि	american  
अमॆरिकियॊं	american  
अमेजन	amazon  
अमेठी	amity  
अमेरिकन	American  
अमेरिका	America  
अमेरिकाः	america  
अमेरिकियों	American  
अमेरिकी	American  
अमेरीकी	American  
अम्बेडकर	ambedkar  
अम्बेदकर	ambedkar  
अम्मा	mother  
अययर	aiyar  
अययुब	ayub  
अयुब	ayub  
अयूब	ayub  
अयोध्या	Ayodhya  
अय्यर	aiyer  
अय्युब	ayub  
अरचन	hinderence  
अरजंटिन	Argentina  
अरजुन	arjun  
अरतशासतरि	economist  
अरतात	Meaning
अरपन	Dedicated
अरब	Arab  
अरबन	urban  
अरबपति	billionare  
अरबपतियॊं	billionare  
अरबपतियों	billionare  
अरबवासियॊं	arabic  
अरबवासियों	arabic  
अरबि	arabic  
अरबिय	arabic  
अरबी	Arabic  
अरबों	Arabs  
अरविंद	Aravind  
अरविन	arvin  
अरविन्द	Aravind  
अरशद	arshad  
अरसे	ages  
अराफात	arafat  
अराफ़ात	arafat  
अरिहंत	arihant  
अरिहन्त	arihant  
अरुण	Arun  
अरुणा	aruna  
अरुणाचलप्रदेश	arunanchal pradesh  
अरुणिमा	arunima  
अरुन	arun  
अरुनाचल	arunanchal  
अरुनाचलपरदॆश	arunanchal pradesh  
अरुनिम	arunim  
अरूणाचल	arunanchal  
अरेबिया	arabia  
अरोरा	arora  
अर्घ्य	adharya  
अर्चना	Archana  
अर्जन्टीना	Argentina  
अर्जुन	Arjun  
अर्जेंटाईन	Argentina  
अर्जेंटिना	Argentina  
अर्जेंटीना	Argentina  
अर्जेन्टीना	Argentina  
अर्थतंत्र	economic system  
अर्थतन्त्र	economic system  
अर्थव्थवस्था	Financial situation
अर्थव्यवस्था	Financial situation  
अर्थशास्त्र	economics  
अर्थशास्त्री	economics  
अर्थात	meaning  
अर्धकुंभ	ardhkumb  
अर्पण	Dedicated  
अर्पित	Dedicated 
अर्शद	arshad  
अल	Al  
अलका	alka  
अलकायदा	Al qaeda  
अलग	Separate  
अलगाववादी	Separatists  
अलजिरिय	algeria  
अलजिरियन	algeria  
अलटिमॆटम	ultimatem  
कैफ	Kaif
कैबिनॆट	Cabinet
कैबिनेट	Cabinet
आया	Came
कैमरा	Camera
कैमरुन	Cameroon
कैमरून	Cameroon
कैमरॆ	Cameras
कैमरे	Cameras
कैमिकल	Chemical
कैम्प	Camp
कैम्पस	Campus
कैम्ब्रिज	Cambridge
कैराॅल	Carol
कैरियर	Career
कैरेक्टर	Character
कैरॊसिन	Kerosene
कैरोसिन	Kerosene
कैलंडर	Calendar
कैलाश	Kailash
कैलिफोर्निया	California
कैलॆंडर	Calendar
कैलेंडर	Calendar
कैलेन्डर	Calendar
कैसा	How
कैसी	How
कैसॆ	How
कैसे	How
कैसेट	Cassette
कैस्परस्की	Caspersky
कैफ़	Kaif
कॉँस्टेन्टिनोपल	Constantinople
कॉंट्रॅक्टर	Contractor
कॉन्सर्ट	Concert
कॉन्सेप्ट	Concept
कॉपी	Copy
कॉप्टर	Copter
कॉफी	Coffee
कॉम	Com
कॉमन	Common
कॉमिक्स	Comics
कॉमेडी	Comedy
कॉम्प्टन	Compton
कॉरिडोर	Corridor
कॉर्क	Cork
कॉर्पोरेट	Corporate
कॉर्प्स	Corpus
कॉल	Call
कॉलम	Column
कॉलराडो	Colarado
कॉलिंगवूड	Collingwood
कॉलिन	Collin
कॉलेज	College
कॉलेजों	College
कॉलोनी	Colony
कॉस्मेटिक	Cosmetic
कॊचिंग	Coaching
कॊचिन	Cochin
कॊट	Coat
कॊटक	Kotak
कॊडॆक	Codec
कॊडॆड	Coded
कॊन	Cone
कॊपनहागन	Copenhagan
कॊमल	Sensitive
कॊमॊडॊ	Comodo
कॊयंबतुर	Coimbatore
कॊयल	Cuckoo
कॊरस	Chorus
कॊरिय	Korea
कॊरियन	Korean
कॊल	Coal
कॊलंबस	Columbus
कॊलंबिय	Columbia
कॊलंबॊ	Columbo
कॊलगॆट	Colgate
कॊलार	Kolar
कॊलॊ	Kolo
कॊशिश	Try
कॊशिशॆं	Tries
को	to
कोइज़ुमी	Koizumi
कोइजुमी	Koizumi
कोइराला	Koirala
कोई	Someone
कोकाकोला	Cocacola
कोच	Coach
कोचिंग	Coaching
कोटक	Kotak
कोटी	Koti
कोट्टायम	Kottayam
कोड	Code
कोडेक	Codec
कोडेड	Coded
कोण	Angle
कोने	Corner
कोपनहागन	Copenhagan
कोफ़ी	Coffee
कोबाल्ट	Cobalt
कोम	Coma
कोमल	Sensitive
कोमा	Coma
कोमोडो	Comodo
कोयंबतूर	Coimbatore
कोयला	Cuckoo
कोरस	Chorus
कोरियन	Korean
कोरिया	Korea
कोरोला	Corolla
कोर्ट	Court
कोर्निकोवा	Kournikova
कोर्स	Course
कोलंबस	Columbus
कोलंबिया	Columbia
कोलंबो	Columbo
कोलकता	Kolkata
कोलकाता	Kolkata
कोलगेट	Colgate
कोलम्बिया	Columbia
कोला	Cola
कोलार	Kolar
कोल्हापुर	Kolhapur
कोल्हापुरी	Kolhapur
कोल्हापूर	Kolhapur
कोश	Treasure
कोशिश	Effort
कोशिशें	Effort
कोशिशों	Effort
कोस्ट	Coast
कोस्टर	Coaster
कोह्लापुर	Kohlapur
कौआ	Crow
कौओं	Crow
कौन	Who
कौमुदि	Koumudi
कौर	Kaur
कौरव	kaurav
कौल	Kaul
कौशल	Kaushal
कौशल्या	Kaushalya
कौशिक	Kaushik
क्या	What
क्याल्सियम	Calcium
क्युरियम	Curium
क्युरी	Curie
क्यूँ	Why
क्यूं	Why
क्यूंकि	Because
क्यूटी	Cutie
क्यूबा	Cuba
क्यूबिकल	Cubical
क्यों	Why
क्योंकि	Because
क्रम	Line
क्रांति	Revolution
क्रांतिकारी	Rebellion
क्राइस्टचर्च	ChristChurch
क्रान्ति	Revolution
क्रान्तिकारी	Rebellion
क्राफ्टेड	Crafted
क्राफ्ट्स	Crafts
क्रिकेट	Cricket
क्रिकेटर	Cricketer
क्रिकेटरों	Cricketer
क्रिप्टन	Krypton
क्रिया	Verb
क्रियाएँ	Verb
क्रियापद	Verb
क्रियाविशेषण	Adverb
क्रियेटिव	Creative
क्रिस	Chris
क्रिसमस	Christmas
क्रिस्टियन	Christian
क्रिस्टोफर	Christopher
क्रीक	Creek
क्रीडा	Sport
क्रीम	Cream
क्रुक	Crook
क्रेग	Craig
क्रेज	Craze
क्रेजी	Crazy
क्रेडिट	Credit
क्रोएशियन	Croatian
क्रोएशिया	Croatia
क्रोध	Anger
क्रोमियम	Chromium
क्लब	Club
क्लबों	Clubs
क्लर्क	Clerk
क्लाइंट	Client
क्लार्क	Clark
क्लास	Class
क्लासमेट	Classmate
क्लासरूम	Classroom
क्लासिक	Classic
क्लाॅक	Clock
क्लिंटन	Clinton
क्लिओपात्रा	Cleopatra
क्लिक	Click
क्लीन	Clean
क्लीनिंग	Cleaning
क्लॉड	Clod
क्लॉडियस	Claudius
क्लोन	Clone
क्लोनडीवीडी	CloneDVD
क्लोनसीडी	CloneCD
क्लोनिंग	Cleaning
क्लोरीन	Chlorine
क्वार्टर	Quarter
क्वालालमपुर	Kualalampur
क्वालिटी	Quality
क्वीन	Queen
क्वीन्स	Queens
क्वीन्सबरी	Queensbury
क्षण	Second
क्षणों	Seconds
क्षति	Speed
क्षमता	Capacity
क्षमताओं	Capacity
क्षमा	Forgive
क्षमादान	Forgive
क्षितिज	Kshitij
क्षेत्र	Region
क्षेत्रीय	Regional
क्षेत्रों	Region
क॑पनियां	Companies
क॑पनियों	Companies
क॑पनी	Company
क॑प्यूटर	Computer
कड़ा	Hard
कड़ी	Hard
कड़े	Hard
खंड	Segment
खंडकाव्य	Composition
खंडन	Segmentation
खंडेलवाल	Khandelwal
खगोल	Globe
खगोलशास्त्र	Geography
खजूर	Dates
खटक	Cuttack
खड़ा	Stand
खड़ी	Stand
खड़े	Stand
खडा	Stand
खडी	Stand
खडे	Stand
खण्ड	Continent
खतम	Complete
खतरनाक	Dangerous
खतरा	Danger
खतरे	Danger
खत्	Letter
खदान	Mine
खनिज	Mineral
खन्ना	Khanna
खपत	Consumption
खबर	News
खबरपत्रिका	Newspaper
खबरे	News
खबरें	News
खबरों	News
खम्मम	Khammam
खयाल	View
खरगोश	Pigeon
खरगोशों	Pigeon
खरा	Pure
खराब	Damaged
खराबी	Damaged
खरीद	Buy
खरीदते	Buy
खरीददारी	Shopping
खरीदना	Buy
खरीदने	Buy
खरीदा	Bought
खरीदारी	Shopping
खरीदी	Bought
खरीदे	Bought
खरीदें	Bought
खरीदेंगे	Bought
खरीदेगा	Buy
खरीदो	Buy
खरे	Khare
खर्च	Spend
खर्चा	Cost
ख़तरनाक	Dangerous
ख़तरा	Danger
ख़तरे	Danger
ख़बर	News
ख़बरें	News
ख़बरों	News
ख़राब	Spoilt
ख़रीद	Buy
ख़रीदारी	Shopping
ख़रीदारों	Shopping
ख़र्च	Consumption
ख़ास	Special
ख़िलाफ़	Against
ख़ुद	Self
ख़ुदा	God
ख़ुफ़िया	Secret
ख़ुश	Happy
ख़ुशी	Happiness
ख़ून	Blood
ख़्वाहिश	Wish
ख़्वाहिशें	Wish
खा	Eat
गुफायें	caves
सुंदर	beautiful
तट	beaches
पहाड़ी	hill
स्थल	place
बौद्धों	buddhist
वाटर	water
रैफ्टिंग	rafting
सूर्य	sun
पर्वतारोहण	trekking
सभा-भवन	hall
पर्यटन	tourism
आकर्षण	attraction
खाँसी	Cough
खाई	Valley
खाए	Ate
खाएँ	Eat
खाएं	Eat
खाओ	Eat
खाकर	eat
खाड़ी	Gulf
खाता	Account
खातिर	Sake
खाती	Eat
खाते	Accounts
खातों	Accounts
खाद्य	Eatable
खाध्य	Eatable
खानदानी	Generation
खानपान	Food
खाना	Food
खाने	eat
खानेवाले	eaters
खामोश	Silence
खामोशी	Silence
खाया	Ate
खारिज	Reject
खाली	Empty
खास	Special
खासकर	Mainly
खासतौर	Mainly
खासा	Special
खासियत	Speciality
खासी	Special
खासे	Special
खाड़ी	Gulf
खिचड़ी	Mixture
खिचडी	Mixture
खिड़की	Window
खिताब	Honor
खिताबी	Honor
खिलवाड़	Playing
खिला	Blossom
खिलाड़ियों	Players
खिलाड़ी	Player
खिलाफ	Against
खिलाड़ियों	Players
खिलाड़ी	Player
खिली	Blossom
खिसक	Slide
खिसकने	Slide
खिसका	Slide
खिड़की	Window
खींच	Pull
खुद	Self
खुदकुशी	Suicide
खुदरा	Change
खुदा	God
खुदाई	Digging
खुफिया	Secret
खुफियागिरी	Secretiveness
खुराना	Khurana
खुल	Open
खुलकर	open
खुलती	Open
खुलने	Open
खुला	open
खुली	open
खुले	open
खुलेगा	open
खुश	Happy
खुशखबरी	Happy news
खुशबू	Scent
खुशवंत	Khushwant
खुशालसिंह	KhushalSingh
खुशियाँ	Happiness
खुशियां	Happiness
खुशियों	Happiness
खुशी	Pleasure
खून	Blood
खूब	Abundant
खूबसूरत	Beautiful
खूबसूरती	Beauty
खूबियों	Virtues
खेत	Farm
खेती	farming
खेतीबाड़ी	Farming
खेतों	Farms
खेद	Sorry
खेल	Sport
खेलकर	play
खेलकूद	Sports
खेलते	Play
खेलना	Play
खेलने	Play
खेला	Play
खेली	Play
खेले	Play
खेलेंगे	play
खेलेगा	play
खेलो	Play
खेलों	Sports
खैर	ok
खोई	Lost
खोकर	lose
खोखो	Kho-Kho
खोज	Search
खोजकर्ताओं	Scientists
खोजने	search
खोजी	search
खोजे	search
खोजें	Search
खोपरा	Dried coconut
खोया	Lost
खोल	Open
खोलकर	Open
खोलने	Open
खोला	open
खोली	open
खोले	open
खोलेगा	open
खोलो	Open
खोसला	Scam
ख्याति	Fame
ख्याल	Thoughts
ख्वाब	Dream
ख्वाबों	Dreams
ख्वाहिश	Wish
ख्वाहिशें	Wishes
खज़ाना	Treasure
खड़ा	Stand
खड़ी	Stand
खड़े	Stand
गंगा	Ganga 
गंगाधर	Gangadhar
गंगानगर	Ganganagar
गंजा	Bald
गंदक	Sandalwood
गंदगी	Dirtyness
गंदा	Bad
गंदे	Dirty
गंध	Smell
गंधर्व	Angels
गंभीर	Bold
गंभीरता	Boldness
गई	Went
गए	Went
गगन	Sky
गज	Elephant
गजपति	Mahout
गजब	Amazing
गजल	Ghazal
गजलकार	Singer
गजलॆं	Ghazals
गजलॊं	Ghazals
गजानन	Lord ganesh
गजुरात	gujarat 
गठन	Make
गठबंधन	Tie up
गठबन्धन	Tie up
गठित	Made
गडबड	Confused
गड़बड़ी	Confusion
गड्ढे	Hole, Drainage
गणतंत्र	Republic
गणतन्त्र	Republic
गणतन्त्रको	Republic
गणतन्त्रवादी	Supporters of Republic
गणना	Counting
गणपति	Lord ganesh
गणपतीबाप्पा	Lord ganesh
गणित	Mathematics
गणितज्ञ	Mathematician
गणेश	lord ganesh
गणेशजी	lord ganesh
गणेशा	lord ganesh
गणेशोत्सव	Lord Ganesh Festival
गत	Former
गति	Rate
गतिरोध	Deadlock
गतिविथियों	Cabinet
गतिविधि	Movement
गतिविधियाँ	Movements
गतिविधियां	Movements
गतिविधियों	Movements
गद्य	A kind of music
गद्यकार	Musician
गद्यगान	Songs
गधों	Donkeys
गनमैन	Gunmen
गन्दा	Bad
गन्धक	Sandalwood
गपशप	Chat
गम	Sad
गमन	Pace
गम़	Sad
गम्भीर	Bold
गया	Went
गयाना	Guyana
गयी	Went
गये	Went
गरज	shout
गरम	Hot
गरमी	Heat
गरिमा	Proud
गरीब	Poor
गरीबी	Poverty
गरीबों	Poor
गर्ग	Garg
गर्दन	Neck
गर्भ	Womb
गर्भवती	Pregnant
गर्मियों	Summer
गर्मी	Summer
गर्लफ़्रेंड	Girl Friend
गर्लफ्रेंड	Girl Friend
गर्व	Pride
गर्वगीत	Songs of pride
गलत	Wrong
गलतियां	Mistakes
गलतियॊं	Mistakes
गलतियों	Mistakes
गलती	Mistake
गला	Neck
गलियां	Streets
गलियों	Streets
गली	Street
गले	Necks
गल्फ़	Gulf
गवर्नर	Governor
गवर्नर्स	Governors
गवा	Witness
गवाह	Witness
गवाही	Witness
गवाहॊं	Witnesses
गवाहों	Witnesses
गहन	Deep
गहरा	Deep
गहराई	Deepness
गहरी	Deep
गहरॆ	Deep
गहरे	Deep
ग़ज़ल	Ghazal
ग़ज़लें	Ghazals
ग़ज़लों	Ghazals
ग़ौरतलब	Heck
गाँधी	Gandhi
गाँधीगिरी	Principles of Gandhi
गाँधीगीरी	Principles of Gandhi
